iter	Passed	Remaining
594	1716	1168
595	1718	1164
596	1720	1161
597	1723	1158
598	1725	1154
599	1726	1151
600	1728	1147
601	1730	1143
602	1731	1140
603	1733	1136
604	1735	1132
605	1738	1130
606	1740	1126
607	1742	1123
608	1744	1120
609	1746	1116
610	1748	1113
611	1750	1109
612	1753	1106
613	1755	1103
614	1756	1099
615	1758	1096
616	1760	1092
617	1761	1089
618	1763	1085
619	1765	1082
620	1767	1078
621	1770	1075
622	1772	1072
623	1773	1068
624	1775	1065
625	1776	1061
626	1778	1058
627	1780	1054
628	1782	1051
629	1785	1048
630	1786	1044
631	1788	1041
632	1790	1037
633	1791	1034
634	1793	1030
635	1795	1027
636	1797	1024
637	1799	1021
638	1801	1017
639	1803	1014
640	1804	1010
641	1806	1007
642	1808	1003
643	1809	1000
644	1811	997
645	1813	994
646	1815	990
647	1817	987
648	1819	983
649	1820	980
650	1822	977
651	1824	973
652	1825	970
653	1828	967
654	1830	964
655	1832	961
656	1834	957
657	1836	954
658	1838	951
659	1840	948
660	1842	945
661	1845	942
662	1847	938
663	1848	935
664	1850	932
665	1852	928
666	1853	925
667	1855	922
668	1857	918
669	1859	916
670	1861	912
671	1863	909
672	1864	906
673	1866	902
674	1868	899
675	1869	896
676	1871	893
677	1874	890
678	1876	886
679	1877	883
680	1879	880
681	1881	877
682	1882	873
683	1884	870
684	1886	867
685	1888	864
686	1890	861
687	1892	858
688	1894	854
689	1896	852
690	1899	849
691	1905	848
692	1908	845
693	1910	842
694	1911	838
695	1913	835
696	1914	832
697	1916	829
698	1918	826
699	1921	823
700	1922	820
701	1925	817
702	1926	814
703	1928	810
704	1930	807
705	1931	804
706	1933	801
707	1936	798
708	1939	795
709	1940	792
710	1942	789
711	1945	786
712	1947	783
713	1949	780
714	1951	778
715	1954	775
716	1955	771
717	1957	768
718	1959	765
719	1960	762
720	1962	759
721	1966	757
722	1967	753
723	1969	750
724	1971	747
725	1973	744
726	1974	741
727	1976	738
728	1978	735
729	1981	732
730	1983	729
731	1985	726
732	1986	723
733	1988	720
734	1989	717
735	1991	714
736	1993	711
737	1996	708
738	1998	705
739	2000	702
740	2002	699
741	2003	696
742	2005	693
743	2006	690
744	2009	687
745	2012	685
746	2013	682
747	2015	679
748	2017	675
749	2018	672
750	2020	669
751	2022	666
752	2024	664
753	2027	661
754	2029	658
755	2031	655
756	2033	652
757	2035	649
758	2037	647
759	2040	644
760	2042	641
761	2044	638
762	2046	635
763	2047	632
764	2049	629
765	2050	626
766	2052	623
767	2055	620
768	2057	618
769	2059	615
770	2060	612
771	2062	609
772	2064	606
773	2065	603
774	2067	600
775	2069	597
776	2072	594
777	2073	591
778	2075	588
779	2077	585
780	2078	582
781	2080	579
782	2081	576
783	2083	574
784	2088	572
785	2090	569
786	2091	566
787	2093	563
788	2095	560
789	2096	557
790	2098	554
791	2101	551
792	2103	548
793	2104	546
794	2106	543
795	2108	540
796	2109	537
797	2111	534
798	2113	531
799	2115	528
800	2117	526
801	2119	523
802	2121	520
803	2122	517
804	2124	514
805	2126	511
806	2128	508
807	2130	506
808	2132	503
809	2135	500
810	2136	497
811	2138	495
812	2140	492
813	2142	489
814	2144	486
815	2147	484
816	2148	481
817	2150	478
818	2152	475
819	2153	472
820	2155	469
821	2157	467
822	2158	464
823	2161	461
824	2163	458
825	2165	456
826	2166	453
827	2168	450
828	2169	447
829	2171	444
830	2173	441
